"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"5","0.027090843","12:26:36.445855429","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=1 Ack=11 Win=539 Len=120 TSval=1542824343 TSecr=453538"
"12","0.126792064","12:26:36.545556650","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=121 Ack=21 Win=539 Len=117 TSval=1542824436 TSecr=453547"
"21","0.226898529","12:26:36.645663115","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=238 Ack=31 Win=539 Len=121 TSval=1542824537 TSecr=453556"
"28","0.326905435","12:26:36.745670021","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=359 Ack=41 Win=539 Len=126 TSval=1542824642 TSecr=453566"
"35","0.426882248","12:26:36.845646834","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=485 Ack=51 Win=539 Len=121 TSval=1542824738 TSecr=453575"
"42","0.526883842","12:26:36.945648428","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=606 Ack=61 Win=539 Len=116 TSval=1542824842 TSecr=453584"
"53","0.626875073","12:26:37.045639659","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=1189 Ack=81 Win=539 Len=121 TSval=1542824940 TSecr=453593"
"60","0.726905561","12:26:37.145670147","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=1310 Ack=91 Win=539 Len=125 TSval=1542825041 TSecr=453602"
"67","0.826924532","12:26:37.245689118","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=1435 Ack=101 Win=539 Len=122 TSval=1542825141 TSecr=453611"
"76","0.926774357","12:26:37.345538943","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=1738 Ack=124 Win=539 Len=121 TSval=1542825242 TSecr=453620"
"89","1.027080668","12:26:37.445845254","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=1859 Ack=134 Win=538 Len=120 TSval=1542825343 TSecr=453629"
"96","1.126703541","12:26:37.545468127","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=1979 Ack=144 Win=538 Len=117 TSval=1542825443 TSecr=453638"
"105","1.226870942","12:26:37.645635528","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=2096 Ack=154 Win=538 Len=121 TSval=1542825543 TSecr=453646"
"112","1.326910884","12:26:37.745675470","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=2217 Ack=164 Win=538 Len=126 TSval=1542825642 TSecr=453656"
"119","1.426866803","12:26:37.845631389","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=2343 Ack=174 Win=538 Len=121 TSval=1542825742 TSecr=453665"
"126","1.526933917","12:26:37.945698503","192.168.57.20","192.168.57.30","TCP","182","7710  >  56913 [PSH, ACK] Seq=2464 Ack=184 Win=538 Len=116 TSval=1542825843 TSecr=453674"
"137","1.626974901","12:26:38.045739487","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=3047 Ack=204 Win=538 Len=121 TSval=1542825943 TSecr=453683"
"144","1.726886279","12:26:38.145650865","192.168.57.20","192.168.57.30","TCP","191","7710  >  56913 [PSH, ACK] Seq=3168 Ack=214 Win=538 Len=125 TSval=1542826042 TSecr=453692"
"151","1.826963092","12:26:38.245727678","192.168.57.20","192.168.57.30","TCP","188","7710  >  56913 [PSH, ACK] Seq=3293 Ack=224 Win=538 Len=122 TSval=1542826142 TSecr=453701"
"158","1.926603314","12:26:38.345367900","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=3415 Ack=234 Win=538 Len=121 TSval=1542826242 TSecr=453710"
"171","2.027120971","12:26:38.445885557","192.168.57.20","192.168.57.30","TCP","186","7710  >  56913 [PSH, ACK] Seq=3536 Ack=244 Win=538 Len=120 TSval=1542826343 TSecr=453719"
"178","2.126634640","12:26:38.545399226","192.168.57.20","192.168.57.30","TCP","183","7710  >  56913 [PSH, ACK] Seq=3656 Ack=254 Win=538 Len=117 TSval=1542826442 TSecr=453728"
"187","2.226905729","12:26:38.645670315","192.168.57.20","192.168.57.30","TCP","187","7710  >  56913 [PSH, ACK] Seq=3773 Ack=264 Win=538 Len=121 TSval=1542826543 TSecr=453736"
"194","2.326906228","12:26:38.745670814","192.168.57.20","192.168.57.30","TCP","192","7710  >  56913 [PSH, ACK] Seq=3894 Ack=274 Win=538 Len=126 TSval=1542826642 TSecr=453745"
