"No.","Time","AbsTime","Source","Destination","Protocol","Length","Info"
"2","0.025352894","12:26:36.444117480","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=1 Ack=1 Win=8326 Len=10 TSval=453538 TSecr=1542824235"
"9","0.125408324","12:26:36.544172910","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=11 Ack=121 Win=8326 Len=10 TSval=453547 TSecr=1542824343"
"18","0.225342722","12:26:36.644107308","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=21 Ack=238 Win=8326 Len=10 TSval=453556 TSecr=1542824436"
"25","0.325332319","12:26:36.744096905","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=31 Ack=359 Win=8326 Len=10 TSval=453566 TSecr=1542824537"
"32","0.425284123","12:26:36.844048709","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=41 Ack=485 Win=8326 Len=10 TSval=453575 TSecr=1542824642"
"39","0.525306539","12:26:36.944071125","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=51 Ack=606 Win=8326 Len=10 TSval=453584 TSecr=1542824738"
"50","0.625333817","12:26:37.044098403","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=71 Ack=1189 Win=8326 Len=10 TSval=453593 TSecr=1542824842"
"57","0.725316707","12:26:37.144081293","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=81 Ack=1310 Win=8326 Len=10 TSval=453602 TSecr=1542824940"
"64","0.825345640","12:26:37.244110226","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=91 Ack=1435 Win=8326 Len=10 TSval=453611 TSecr=1542825041"
"73","0.925437767","12:26:37.344202353","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=114 Ack=1738 Win=8326 Len=10 TSval=453620 TSecr=1542825205"
"86","1.025422531","12:26:37.444187117","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=124 Ack=1859 Win=8326 Len=10 TSval=453629 TSecr=1542825242"
"93","1.125379731","12:26:37.544144317","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=134 Ack=1979 Win=8326 Len=10 TSval=453638 TSecr=1542825343"
"102","1.225341872","12:26:37.644106458","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=144 Ack=2096 Win=8326 Len=10 TSval=453646 TSecr=1542825443"
"109","1.325335767","12:26:37.744100353","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=154 Ack=2217 Win=8326 Len=10 TSval=453656 TSecr=1542825543"
"116","1.425306750","12:26:37.844071336","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=164 Ack=2343 Win=8326 Len=10 TSval=453665 TSecr=1542825642"
"123","1.525351222","12:26:37.944115808","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=174 Ack=2464 Win=8326 Len=10 TSval=453674 TSecr=1542825742"
"134","1.625367728","12:26:38.044132314","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=194 Ack=3047 Win=8326 Len=10 TSval=453683 TSecr=1542825843"
"141","1.725318215","12:26:38.144082801","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=204 Ack=3168 Win=8326 Len=10 TSval=453692 TSecr=1542825943"
"148","1.825400032","12:26:38.244164618","192.168.57.30","192.168.57.20","TCP","76","56913  >  7710 [PSH, ACK] Seq=214 Ack=3293 Win=8326 Len=10 TSval=453701 TSecr=1542826042"
